date,signal_type,right,strike,confidence,confidence_tier,regime,spy_entry,spy_exit,entry_premium,exit_premium,pnl_per_contract,pnl_pct,holding_hours,vix,iv_rank,month
2025-10-02,CALL_SWEEP,C,665.0,0.8292643816852738,HIGH,TREND_UP,665.4309692382812,667.8074951171875,6.62,6.86,23.72,3.58,48.0,16.6299991607666,8.131751843940014,2025-10
2025-10-03,CALL_SWEEP,C,668.0,0.8355706079040097,HIGH,TREND_UP,665.421142578125,665.3316040039062,5.18,4.31,-86.9,-16.77,48.0,16.649999618530273,8.18321982376168,2025-10
2025-10-06,CALL_SWEEP,C,671.0,0.8443373464083328,HIGH,TREND_UP,667.8074951171875,669.2990112304688,4.83,4.48,-35.32,-7.31,48.0,16.3700008392334,7.462687739285184,2025-10
2025-10-07,CALL_SWEEP,C,672.0,0.8257757943452851,HIGH,TREND_UP,665.3316040039062,667.3600463867188,3.78,3.3,-48.22,-12.76,48.0,17.239999771118164,9.70149087070388,2025-10
2025-10-08,CALL_SWEEP,C,672.0,0.8508434387430639,HIGH,TREND_UP,669.2990112304688,649.32275390625,5.04,0.72,-251.76,-50.0,48.0,16.299999237060547,7.282549809909352,2025-10
2025-10-09,CALL_SWEEP,C,668.0,0.8464315853468987,HIGH,TREND_UP,667.3600463867188,649.32275390625,6.03,1.54,-301.3,-50.0,24.0,16.43000030517578,7.617086770493476,2025-10
2025-10-10,PUT_SWEEP,P,642.0,0.8378413165873528,HIGH,RANGE_BOUND,649.32275390625,659.2860107421875,4.42,1.05,-220.75,-50.0,24.0,21.65999984741211,21.075654273686602,2025-10
2025-10-13,PUT_SWEEP,P,653.0,0.8120103266023643,HIGH,RANGE_BOUND,659.2860107421875,661.4039916992188,4.0,2.88,-112.62,-28.12,48.0,19.030000686645508,14.307771991352142,2025-10
2025-10-14,PUT_SWEEP,P,656.0,0.8271401250008424,HIGH,RANGE_BOUND,658.4805908203125,656.899658203125,6.13,7.12,99.36,16.22,48.0,20.809999465942383,18.888314213832867,2025-10
2025-10-15,PUT_SWEEP,P,656.0,0.8212325763983991,HIGH,RANGE_BOUND,661.4039916992188,660.62841796875,4.9,4.18,-71.53,-14.61,48.0,20.639999389648438,18.45084620186212,2025-10
