symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata
MES,SHORT,2025-08-15 14:00:00+00:00,6589.75,2025-08-15 14:15:00+00:00,6590.5,1,-6.15,0.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=42 | RSI=5 | MACD_H=-2.09 | ATR=2.3', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 2.2939787502698925, 'atr_value': 2.2939787502698925, 'adx_value': 42.3035045987776, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4692}"
MES,SHORT,2025-08-20 16:00:00+00:00,6502.25,2025-08-20 16:15:00+00:00,6510.5,1,-43.65,8.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=60 | RSI=42 | MACD_H=-1.57 | e9=6502.6 | #1 | SL=7.0pts | TP=8.7pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 6.953320426010571, 'atr_value': 6.953320426010571, 'adx_value': 60.19301333967552, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4913}"
MES,SHORT,2025-08-21 16:00:00+00:00,6499.75,2025-08-21 17:15:00+00:00,6491.0,1,41.35,8.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=49 | RSI=37 | MACD_H=-0.04 | e9=6507.2 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 2.640652952394136, 'atr_value': 2.640652952394136, 'adx_value': 49.045024808140724, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4990}"
MES,SHORT,2025-08-21 18:00:00+00:00,6502.75,2025-08-22 07:00:00+00:00,6490.75,1,57.6,12.0,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=45 | RSI=45 | MACD_H=0.12 | ATR=4.8', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 4.804486605955185, 'atr_value': 4.804486605955185, 'adx_value': 44.631560932301284, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4998}"
MES,SHORT,2025-08-25 14:30:00+00:00,6581.75,2025-08-25 16:00:00+00:00,6588.25,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=23 | RSI=46 | MACD_H=0.72 | ATR=1.5', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 1.4839206870367274, 'atr_value': 1.4839206870367274, 'adx_value': 23.1117194079091, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5155}"
MES,LONG,2025-08-25 16:15:00+00:00,6592.5,2025-08-25 18:15:00+00:00,6590.0,1,-14.9,2.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'OR_BREAK_LONG | ADX=18 | OR_H=6590.00', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 1.732680392231111, 'atr_value': 1.732680392231111, 'adx_value': 18.125493409434277, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5162}"
MES,LONG,2025-08-26 13:45:00+00:00,6571.5,2025-08-26 15:45:00+00:00,6570.75,1,-6.15,0.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'OR_BREAK_LONG | ADX=31 | OR_H=6564.00', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 0.8840043637648977, 'atr_value': 0.8840043637648977, 'adx_value': 31.226974716914516, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5234}"
MES,LONG,2025-08-26 16:30:00+00:00,6575.75,2025-08-26 18:30:00+00:00,6578.75,1,12.6,3.0,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=32 | RSI=74 | MACD_H=0.45 | ATR=1.0', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.0091524062858588, 'atr_value': 1.0091524062858588, 'adx_value': 31.647985325889593, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5245}"
MES,LONG,2025-08-26 19:30:00+00:00,6589.5,2025-08-26 20:00:00+00:00,6597.25,1,36.35,7.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=40 | RSI=88 | MACD_H=0.81 | ATR=1.4', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.4169354366364955, 'atr_value': 1.4169354366364955, 'adx_value': 40.174175733093115, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5257}"
MES,LONG,2025-08-27 18:00:00+00:00,6611.75,2025-08-27 20:15:00+00:00,6605.25,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=38 | RSI=83 | MACD_H=0.41 | ATR=1.1', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.0977845566821889, 'atr_value': 1.0977845566821889, 'adx_value': 38.29060516968846, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5315}"
MES,LONG,2025-08-28 15:15:00+00:00,6614.25,2025-08-28 15:30:00+00:00,6606.5,1,-41.15,7.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=44 | RSI=61 | MACD_H=0.06 | ATR=1.9', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.9204542162830895, 'atr_value': 1.9204542162830895, 'adx_value': 44.47078022934531, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5396}"
MES,LONG,2025-08-28 16:30:00+00:00,6620.25,2025-08-28 18:30:00+00:00,6626.75,1,30.1,6.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=36 | RSI=70 | MACD_H=0.76 | ATR=3.0', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 3.014388456681735, 'atr_value': 3.014388456681735, 'adx_value': 35.95579663704492, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5401}"
MES,SHORT,2025-08-29 15:30:00+00:00,6582.25,2025-08-29 17:30:00+00:00,6582.0,1,-1.15,0.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=47 | RSI=23 | MACD_H=-2.68 | e9=6592.4 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 3.417773305434971, 'atr_value': 3.417773305434971, 'adx_value': 47.18254574311097, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5484}"
MES,SHORT,2025-09-02 15:30:00+00:00,6498.75,2025-09-02 16:00:00+00:00,6490.25,1,40.1,8.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=66 | RSI=28 | MACD_H=-0.18 | e9=6516.9 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 5.912987677370414, 'atr_value': 5.912987677370414, 'adx_value': 65.8086886500129, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5651}"
MES,SHORT,2025-09-02 16:45:00+00:00,6492.75,2025-09-02 17:00:00+00:00,6499.25,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=62 | RSI=27 | MACD_H=-1.29 | e9=6502.0 | #2 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 5.3124919745007535, 'atr_value': 5.3124919745007535, 'adx_value': 62.37062499539884, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5656}"
